no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_3h_download_cor1	pre_b_3h_download_cor1	preevento_a_3h	preevento_b_3h	pre_a_2h_download_cor1	pre_b_2h_download_cor1
196	2009-02-12	00:22:00	2009-02-12	00:22:19	270	270	20.888	289.714	43.711	-47.463	43.392	47.509	*	2009-02-12 00:22:00	2009-02-12 00:22:19	2009-02-11 23:22:00	2009-02-11 23:22:19	2009-02-11 22:22:00	2009-02-11 22:22:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090211/', '20090211_212500_s4c1A.fts', '20090211_212509_s4c1A.fts', '20090211_212518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090211/', '20090211_212000_s4c1B.fts', '20090211_212009_s4c1B.fts', '20090211_212018_s4c1B.fts']	2009/02/11 21:22:00	2009/02/11 21:22:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090211/', '20090211_222500_s4c1A.fts', '20090211_222509_s4c1A.fts', '20090211_222518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090211/', '20090211_222000_s4c1B.fts', '20090211_222009_s4c1B.fts', '20090211_222018_s4c1B.fts']
197	2009-02-13	06:52:00	2009-02-13	*	90	*	4.191	272.948	43.747	-47.495	43.428	47.526	90.953	2009-02-13 06:52:00		2009-02-13 05:52:00	NaT	2009-02-13 04:52:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090213/', '20090213_035500_s4c1A.fts', '20090213_035509_s4c1A.fts', '20090213_035518_s4c1A.fts']	*	2009/02/13 03:52:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090213/', '20090213_045500_s4c1A.fts', '20090213_045509_s4c1A.fts', '20090213_045518_s4c1A.fts']	*
198	2009-02-18	09:22:00	2009-02-18	15:22:19	90	45/0/315	297.125	205.620	43.895	-47.611	43.581	47.578	*	2009-02-18 09:22:00	2009-02-18 15:22:19	2009-02-18 08:22:00	2009-02-18 14:22:19	2009-02-18 07:22:00	2009-02-18 13:22:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090218/', '20090218_062500_s4c1A.fts', '20090218_062509_s4c1A.fts', '20090218_062518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090218/', '20090218_122500_s4c1B.fts', '20090218_122509_s4c1B.fts', '20090218_122518_s4c1B.fts']	2009/02/18 06:22:00	2009/02/18 12:22:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090218/', '20090218_072500_s4c1A.fts', '20090218_072509_s4c1A.fts', '20090218_072518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090218/', '20090218_132500_s4c1B.fts', '20090218_132509_s4c1B.fts', '20090218_132518_s4c1B.fts']
199	2009-02-20	22:22:00	2009-02-20	23:22:18	270	270	263.729	172.100	43.970	-47.659	43.662	47.596	*	2009-02-20 22:22:00	2009-02-20 23:22:18	2009-02-20 21:22:00	2009-02-20 22:22:18	2009-02-20 20:22:00	2009-02-20 21:22:18	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090220/', '20090220_192500_s4c1A.fts', '20090220_192509_s4c1A.fts', '20090220_192518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090220/', '20090220_202500_s4c1B.fts', '20090220_202509_s4c1B.fts', '20090220_202518_s4c1B.fts']	2009/02/20 19:22:00	2009/02/20 20:22:18	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090220/', '20090220_202500_s4c1A.fts', '20090220_202509_s4c1A.fts', '20090220_202518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090220/', '20090220_212500_s4c1B.fts', '20090220_212509_s4c1B.fts', '20090220_212518_s4c1B.fts']
200	2009-02-22	*	2009-02-22	12:52:18	*	90	242.651	150.946	44.017	-47.687	43.716	47.604	*		2009-02-22 12:52:18	NaT	2009-02-22 11:52:18	NaT	2009-02-22 10:52:18	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090222/', '20090222_095500_s4c1B.fts', '20090222_095509_s4c1B.fts', '20090222_095518_s4c1B.fts']		2009/02/22 09:52:18	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090222/', '20090222_105500_s4c1B.fts', '20090222_105509_s4c1B.fts', '20090222_105518_s4c1B.fts']
201	2009-02-28	*	2009-02-28	00:22:18	*	270	170.654	78.707	44.186	-47.762	43.911	47.616	*		2009-02-28 00:22:18	NaT	2009-02-27 23:22:18	NaT	2009-02-27 22:22:18	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090227/', '20090227_212500_s4c1B.fts', '20090227_212509_s4c1B.fts', '20090227_212518_s4c1B.fts']		2009/02/27 21:22:18	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090227/', '20090227_222500_s4c1B.fts', '20090227_222509_s4c1B.fts', '20090227_222518_s4c1B.fts']
202	2009-03-02	23:52:00	2009-03-02	*	90	*	131.507	39.435	44.282	-47.790	44.026	47.612	*	2009-03-02 23:52:00		2009-03-02 22:52:00	NaT	2009-03-02 21:52:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090302/', '20090302_205500_s4c1A.fts', '20090302_205509_s4c1A.fts', '20090302_205518_s4c1A.fts']	*	2009/03/02 20:52:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090302/', '20090302_215500_s4c1A.fts', '20090302_215509_s4c1A.fts', '20090302_215518_s4c1A.fts']	*
203	2009-03-04	06:22:00	2009-03-04	*	270	*	114.807	22.684	44.324	-47.800	44.077	47.608	*	2009-03-04 06:22:00		2009-03-04 05:22:00	NaT	2009-03-04 04:22:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090304/', '20090304_032500_s4c1A.fts', '20090304_032509_s4c1A.fts', '20090304_032518_s4c1A.fts']	*	2009/03/04 03:22:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090304/', '20090304_042500_s4c1A.fts', '20090304_042509_s4c1A.fts', '20090304_042518_s4c1A.fts']	*
204	2009-03-06	20:22:00	2009-03-06	20:22:18	270	270	80.860	348.635	44.412	-47.813	44.185	47.597	*	2009-03-06 20:22:00	2009-03-06 20:22:18	2009-03-06 19:22:00	2009-03-06 19:22:18	2009-03-06 18:22:00	2009-03-06 18:22:18	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090306/', '20090306_180500_s4c1A.fts', '20090306_180509_s4c1A.fts', '20090306_180518_s4c1A.fts']	No data	2009/03/06 17:22:00	2009/03/06 17:22:18	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090306/', '20090306_182500_s4c1A.fts', '20090306_182509_s4c1A.fts', '20090306_182518_s4c1A.fts']	No data
205	2009-03-08	00:22:00	2009-03-08	04:22:18	270	45	65.529	333.259	44.453	-47.817	44.236	*	*	2009-03-08 00:22:00	2009-03-08 04:22:18	2009-03-07 23:22:00	2009-03-08 03:22:18	2009-03-07 22:22:00	2009-03-08 02:22:18	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090307/', '20090307_212500_s4c1A.fts', '20090307_212509_s4c1A.fts', '20090307_212518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090308/', '20090308_012500_s4c1B.fts', '20090308_012509_s4c1B.fts', '20090308_012518_s4c1B.fts']	2009/03/07 21:22:00	2009/03/08 01:22:18	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090307/', '20090307_222500_s4c1A.fts', '20090307_222509_s4c1A.fts', '20090307_222518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090308/', '20090308_022500_s4c1B.fts', '20090308_022509_s4c1B.fts', '20090308_022518_s4c1B.fts']
206	2009-03-10	06:22:00	2009-03-10	*	90	*	35.961	303.607	44.533	-47.821	44.336	47.575	91.911	2009-03-10 06:22:00		2009-03-10 05:22:00	NaT	2009-03-10 04:22:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090310/', '20090310_032700_s4c1A.fts', '20090310_032709_s4c1A.fts', '20090310_032718_s4c1A.fts']	*	2009/03/10 03:22:00			*
207	2009-03-16	14:22:00	2009-03-16	12:22:19	90/270	90/270	313.827	221.247	44.771	-47.809	44.636	*	*	2009-03-16 14:22:00	2009-03-16 12:22:19	2009-03-16 13:22:00	2009-03-16 11:22:19	2009-03-16 12:22:00	2009-03-16 10:22:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090316/', '20090316_112500_s4c1A.fts', '20090316_112509_s4c1A.fts', '20090316_112518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090316/', '20090316_092500_s4c1B.fts', '20090316_092509_s4c1B.fts', '20090316_092518_s4c1B.fts']	2009/03/16 11:22:00	2009/03/16 09:22:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090316/', '20090316_122500_s4c1A.fts', '20090316_122509_s4c1A.fts', '20090316_122518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090316/', '20090316_102500_s4c1B.fts', '20090316_102509_s4c1B.fts', '20090316_102518_s4c1B.fts']
208	2009-03-18	00:22:00	2009-03-18	07:22:19	90	315	294.114	201.482	44.831	-47.801	44.712	*	*	2009-03-18 00:22:00	2009-03-18 07:22:19	2009-03-17 23:22:00	2009-03-18 06:22:19	2009-03-17 22:22:00	2009-03-18 05:22:19		['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090318/', '20090318_042500_s4c1B.fts', '20090318_042509_s4c1B.fts', '20090318_042518_s4c1B.fts']	2009/03/17 21:22:00	2009/03/18 04:22:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090317/', '20090317_222500_s4c1A.fts', '20090317_222509_s4c1A.fts', '20090317_222518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090318/', '20090318_052500_s4c1B.fts', '20090318_052509_s4c1B.fts', '20090318_052518_s4c1B.fts']
209	2009-03-24	00:22:00	2009-03-24	16:22:20	90	90	215.261	122.423	45.083	-47.756	45.032	*	*	2009-03-24 00:22:00	2009-03-24 16:22:20	2009-03-23 23:22:00	2009-03-24 15:22:20	2009-03-23 22:22:00	2009-03-24 14:22:20	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090323/', '20090323_212500_s4c1A.fts', '20090323_212509_s4c1A.fts', '20090323_212518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090324/', '20090324_132500_s4c1B.fts', '20090324_132509_s4c1B.fts', '20090324_132518_s4c1B.fts']	2009/03/23 21:22:00	2009/03/24 13:22:20	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090323/', '20090323_222500_s4c1A.fts', '20090323_222509_s4c1A.fts', '20090323_222518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090324/', '20090324_142500_s4c1B.fts', '20090324_142509_s4c1B.fts', '20090324_142518_s4c1B.fts']
213	2009-03-26	09:22:00	2009-03-26	19:22:20	270	135	184.048	91.128	45.189	-47.731	*	*	*	2009-03-26 09:22:00	2009-03-26 19:22:20	2009-03-26 08:22:00	2009-03-26 18:22:20	2009-03-26 07:22:00	2009-03-26 17:22:20	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090326/', '20090326_062500_s4c1A.fts', '20090326_062509_s4c1A.fts', '20090326_062518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090326/', '20090326_162500_s4c1B.fts', '20090326_162509_s4c1B.fts', '20090326_162518_s4c1B.fts']	2009/03/26 06:22:00	2009/03/26 16:22:20	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090326/', '20090326_072500_s4c1A.fts', '20090326_072509_s4c1A.fts', '20090326_072518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090326/', '20090326_172500_s4c1B.fts', '20090326_172509_s4c1B.fts', '20090326_172518_s4c1B.fts']
214	2009-03-31	15:22:00	2009-03-31	*	90	*	115.051	21.949	45.438	-47.665	45.477	47.329	*	2009-03-31 15:22:00		2009-03-31 14:22:00	NaT	2009-03-31 13:22:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090331/', '20090331_122500_s4c1A.fts', '20090331_122509_s4c1A.fts', '20090331_122518_s4c1A.fts']	*	2009/03/31 12:22:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090331/', '20090331_132500_s4c1A.fts', '20090331_132509_s4c1A.fts', '20090331_132518_s4c1A.fts']	*
215	2009-04-02	20:22:00	2009-04-03	04:22:21	270	45	86.028	352.847	45.549	-47.632	*	*	*	2009-04-02 20:22:00	2009-04-03 04:22:21	2009-04-02 19:22:00	2009-04-03 03:22:21	2009-04-02 18:22:00	2009-04-03 02:22:21	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090402/', '20090402_172500_s4c1A.fts', '20090402_172509_s4c1A.fts', '20090402_172518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090403/', '20090403_012500_s4c1B.fts', '20090403_012509_s4c1B.fts', '20090403_012518_s4c1B.fts']	2009/04/02 17:22:00	2009/04/03 01:22:21	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090402/', '20090402_182500_s4c1A.fts', '20090402_182509_s4c1A.fts', '20090402_182518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090403/', '20090403_022500_s4c1B.fts', '20090403_022509_s4c1B.fts', '20090403_022518_s4c1B.fts']
216	2009-04-09	02:52:00	2009-04-09	05:52:22	90/315	90	3.616	270.200	45.891	-47.525	*	*	*	2009-04-09 02:52:00	2009-04-09 05:52:22	2009-04-09 01:52:00	2009-04-09 04:52:22	2009-04-09 00:52:00	2009-04-09 03:52:22	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090408/', '20090408_235000_s4c1A.fts', '20090408_235009_s4c1A.fts', '20090408_235018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090409/', '20090409_025500_s4c1B.fts', '20090409_025509_s4c1B.fts', '20090409_025518_s4c1B.fts']	2009/04/08 23:52:00	2009/04/09 02:52:22	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090409/', '20090409_005500_s4c1A.fts', '20090409_005509_s4c1A.fts', '20090409_005518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090409/', '20090409_035500_s4c1B.fts', '20090409_035509_s4c1B.fts', '20090409_035518_s4c1B.fts']
217	2009-04-10	19:22:00	2009-04-10	*	270	*	341.439	247.956	45.989	-47.493	46.146	47.183	*	2009-04-10 19:22:00		2009-04-10 18:22:00	NaT	2009-04-10 17:22:00	NaT		*	2009/04/10 16:22:00		No data	*
218	2009-04-11	*	2009-04-11	07:52:23	*	90	334.594	241.091	46.020	-47.483	46.183	47.175	*		2009-04-11 07:52:23	NaT	2009-04-11 06:52:23	NaT	2009-04-11 05:52:23	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090411/', '20090411_045500_s4c1B.fts', '20090411_045509_s4c1B.fts', '20090411_045518_s4c1B.fts']		2009/04/11 04:52:23	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090411/', '20090411_055500_s4c1B.fts', '20090411_055509_s4c1B.fts', '20090411_055518_s4c1B.fts']
219	2009-04-14	00:22:00	2009-04-14	13:22:23	90	315	299.276	205.661	46.183	-47.432	46.374	47.138	*	2009-04-14 00:22:00	2009-04-14 13:22:23	2009-04-13 23:22:00	2009-04-14 12:22:23	2009-04-13 22:22:00	2009-04-14 11:22:23	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090413/', '20090413_212500_s4c1A.fts', '20090413_212509_s4c1A.fts', '20090413_212518_s4c1A.fts']	No data	2009/04/13 21:22:00	2009/04/14 10:22:23	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090413/', '20090413_222500_s4c1A.fts', '20090413_222509_s4c1A.fts', '20090413_222518_s4c1A.fts']	No data
220	2009-04-15	01:52:00	2009-04-15	04:52:24	270	90	285.314	191.653	46.249	-47.412	*	*	*	2009-04-15 01:52:00	2009-04-15 04:52:24	2009-04-15 00:52:00	2009-04-15 03:52:24	2009-04-14 23:52:00	2009-04-15 02:52:24	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090414/', '20090414_225500_s4c1A.fts', '20090414_225509_s4c1A.fts', '20090414_225518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090415/', '20090415_015000_s4c1B.fts', '20090415_015009_s4c1B.fts', '20090415_015018_s4c1B.fts']	2009/04/14 22:52:00	2009/04/15 01:52:24	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090414/', '20090414_235500_s4c1A.fts', '20090414_235509_s4c1A.fts', '20090414_235518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090415/', '20090415_025000_s4c1B.fts', '20090415_025009_s4c1B.fts', '20090415_025018_s4c1B.fts']
221	2009-04-16	*	2009-04-16	09:22:24	*	90	268.066	174.347	46.332	-47.386	46.547	47.107	93.654		2009-04-16 09:22:24	NaT	2009-04-16 08:22:24	NaT	2009-04-16 07:22:24	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090416/', '20090416_062000_s4c1B.fts', '20090416_062009_s4c1B.fts', '20090416_062018_s4c1B.fts']		2009/04/16 06:22:24	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090416/', '20090416_072000_s4c1B.fts', '20090416_072009_s4c1B.fts', '20090416_072018_s4c1B.fts']
222	2009-04-19	16:22:00	2009-04-19	*	90	*	224.811	130.941	46.547	-47.323	46.793	47.067	*	2009-04-19 16:22:00		2009-04-19 15:22:00	NaT	2009-04-19 14:22:00	NaT		*	2009/04/19 13:22:00		No data	*
223	2009-04-19	23:22:00	2009-04-19	*	270	*	220.978	127.094	46.567	-47.317	46.815	47.063	*	2009-04-19 23:22:00		2009-04-19 22:22:00	NaT	2009-04-19 21:22:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090419/', '20090419_202000_s4c1A.fts', '20090419_202009_s4c1A.fts', '20090419_202018_s4c1A.fts']	*	2009/04/19 20:22:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090419/', '20090419_212000_s4c1A.fts', '20090419_212009_s4c1A.fts', '20090419_212018_s4c1A.fts']	*
224	2009-04-22	22:22:00	2009-04-22	22:22:26	90	90	182.105	88.075	46.769	-47.261	47.042	*	*	2009-04-22 22:22:00	2009-04-22 22:22:26	2009-04-22 21:22:00	2009-04-22 21:22:26	2009-04-22 20:22:00	2009-04-22 20:22:26	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090422/', '20090422_192500_s4c1A.fts', '20090422_192509_s4c1A.fts', '20090422_192518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090422/', '20090422_192000_s4c1B.fts', '20090422_192009_s4c1B.fts', '20090422_192018_s4c1B.fts']	2009/04/22 19:22:00	2009/04/22 19:22:26	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090422/', '20090422_202500_s4c1A.fts', '20090422_202509_s4c1A.fts', '20090422_202518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090422/', '20090422_202000_s4c1B.fts', '20090422_202009_s4c1B.fts', '20090422_202018_s4c1B.fts']
227	2009-04-25	12:52:00	2009-04-25	16:22:26	270	270	147.887	53.720	46.955	-47.212	47.247	47.006	*	2009-04-25 12:52:00	2009-04-25 16:22:26	2009-04-25 11:52:00	2009-04-25 15:22:26	2009-04-25 10:52:00	2009-04-25 14:22:26	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090425/', '20090425_095000_s4c1A.fts', '20090425_095009_s4c1A.fts', '20090425_095018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090425/', '20090425_132000_s4c1B.fts', '20090425_132009_s4c1B.fts', '20090425_132018_s4c1B.fts']	2009/04/25 09:52:00	2009/04/25 13:22:26	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090425/', '20090425_105000_s4c1A.fts', '20090425_105009_s4c1A.fts', '20090425_105018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090425/', '20090425_142000_s4c1B.fts', '20090425_142009_s4c1B.fts', '20090425_142018_s4c1B.fts']
228	2009-05-02	23:22:00	2009-05-02	20:22:28	270	90	51.813	317.216	47.513	-47.084	47.848	*	*	2009-05-02 23:22:00	2009-05-02 20:22:28	2009-05-02 22:22:00	2009-05-02 19:22:28	2009-05-02 21:22:00	2009-05-02 18:22:28	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090502/', '20090502_202500_s4c1A.fts', '20090502_202509_s4c1A.fts', '20090502_202518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090502/', '20090502_172000_s4c1B.fts', '20090502_172009_s4c1B.fts', '20090502_172018_s4c1B.fts']	2009/05/02 20:22:00	2009/05/02 17:22:28	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090502/', '20090502_212500_s4c1A.fts', '20090502_212509_s4c1A.fts', '20090502_212518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090502/', '20090502_182000_s4c1B.fts', '20090502_182009_s4c1B.fts', '20090502_182018_s4c1B.fts']
229	2009-05-06	*	2009-05-06	08:22:29	*	90	5.834	271.005	47.801	-47.028	48.148	46.935	*		2009-05-06 08:22:29	NaT	2009-05-06 07:22:29	NaT	2009-05-06 06:22:29	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090506/', '20090506_052000_s4c1B.fts', '20090506_052009_s4c1B.fts', '20090506_052018_s4c1B.fts']		2009/05/06 05:22:29	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090506/', '20090506_062000_s4c1B.fts', '20090506_062009_s4c1B.fts', '20090506_062018_s4c1B.fts']
230	2009-05-09	05:52:00	2009-05-09	05:22:30	90	270	328.068	233.035	48.047	-46.986	48.401	*	*	2009-05-09 05:52:00	2009-05-09 05:22:30	2009-05-09 04:52:00	2009-05-09 04:22:30	2009-05-09 03:52:00	2009-05-09 03:22:30	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090509/', '20090509_025000_s4c1A.fts', '20090509_025009_s4c1A.fts', '20090509_025018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090509/', '20090509_022000_s4c1B.fts', '20090509_022009_s4c1B.fts', '20090509_022018_s4c1B.fts']	2009/05/09 02:52:00	2009/05/09 02:22:30	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090509/', '20090509_035000_s4c1A.fts', '20090509_035009_s4c1A.fts', '20090509_035018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090509/', '20090509_032000_s4c1B.fts', '20090509_032009_s4c1B.fts', '20090509_032018_s4c1B.fts']
231	2009-05-11	13:22:00	2009-05-11	12:22:31	270	90/270	297.967	202.762	48.248	*	*	*	*	2009-05-11 13:22:00	2009-05-11 12:22:31	2009-05-11 12:22:00	2009-05-11 11:22:31	2009-05-11 11:22:00	2009-05-11 10:22:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090511/', '20090511_102500_s4c1A.fts', '20090511_102509_s4c1A.fts', '20090511_102518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090511/', '20090511_092000_s4c1B.fts', '20090511_092009_s4c1B.fts', '20090511_092018_s4c1B.fts']	2009/05/11 10:22:00	2009/05/11 09:22:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090511/', '20090511_112500_s4c1A.fts', '20090511_112509_s4c1A.fts', '20090511_112518_s4c1A.fts']	No triada
232	2009-05-13	14:22:00	2009-05-13	22:22:32	90	90	270.604	175.234	48.436	-46.933	48.794	*	*	2009-05-13 14:22:00	2009-05-13 22:22:32	2009-05-13 13:22:00	2009-05-13 21:22:32	2009-05-13 12:22:00	2009-05-13 20:22:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090513/', '20090513_112500_s4c1A.fts', '20090513_112509_s4c1A.fts', '20090513_112518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090513/', '20090513_192000_s4c1B.fts', '20090513_192009_s4c1B.fts', '20090513_192018_s4c1B.fts']	2009/05/13 11:22:00	2009/05/13 19:22:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090513/', '20090513_122500_s4c1A.fts', '20090513_122509_s4c1A.fts', '20090513_122518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090513/', '20090513_202000_s4c1B.fts', '20090513_202009_s4c1B.fts', '20090513_202018_s4c1B.fts']
233	2009-05-15	*	2009-05-15	12:22:32	*	45	245.431	149.904	48.612	-46.914	48.969	46.928	*		2009-05-15 12:22:32	NaT	2009-05-15 11:22:32	NaT	2009-05-15 10:22:32	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090515/', '20090515_092000_s4c1B.fts', '20090515_092009_s4c1B.fts', '20090515_092018_s4c1B.fts']		2009/05/15 09:22:32	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090515/', '20090515_102000_s4c1B.fts', '20090515_102009_s4c1B.fts', '20090515_102018_s4c1B.fts']
234	2009-05-21	*	2009-05-21	19:22:35	*	135	162.808	66.719	49.213	-46.876	49.555	46.963	*		2009-05-21 19:22:35	NaT	2009-05-21 18:22:35	NaT	2009-05-21 17:22:35	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090521/', '20090521_162000_s4c1B.fts', '20090521_162009_s4c1B.fts', '20090521_162018_s4c1B.fts']		2009/05/21 16:22:35	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090521/', '20090521_172000_s4c1B.fts', '20090521_172009_s4c1B.fts', '20090521_172018_s4c1B.fts']
235	2009-05-30	15:52:00	2009-05-29	19:22:37	270	270	57.772	320.865	50.023	-46.883	50.322	*	*	2009-05-30 15:52:00	2009-05-29 19:22:37	2009-05-30 14:52:00	2009-05-29 18:22:37	2009-05-30 13:52:00	2009-05-29 17:22:37	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090530/', '20090530_125000_s4c1A.fts', '20090530_125009_s4c1A.fts', '20090530_125018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090529/', '20090529_162000_s4c1B.fts', '20090529_162009_s4c1B.fts', '20090529_162018_s4c1B.fts']	2009/05/30 12:52:00	2009/05/29 16:22:37	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090530/', '20090530_135000_s4c1A.fts', '20090530_135009_s4c1A.fts', '20090530_135018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090529/', '20090529_172000_s4c1B.fts', '20090529_172009_s4c1B.fts', '20090529_172018_s4c1B.fts']
236	2009-05-31	00:22:00	2009-05-31	*	90	*	41.909	304.869	50.150	-46.890	50.440	47.079	97.519	2009-05-31 00:22:00		2009-05-30 23:22:00	NaT	2009-05-30 22:22:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090530/', '20090530_212500_s4c1A.fts', '20090530_212509_s4c1A.fts', '20090530_212518_s4c1A.fts']	*	2009/05/30 21:22:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090530/', '20090530_222500_s4c1A.fts', '20090530_222509_s4c1A.fts', '20090530_222518_s4c1A.fts']	*
